employee_id,name,phone,job_role,work_location,salary
123,Christopher George,806.867.2450x035,Communications Specialist,"Tokyo, Japan",184619
124,Michele Castillo,001-559-857-9621,Human Resources,"Syndney, Australia",193768
125,Shawn Vazquez,398.595.1759x426,Executive Director,"Washington, DC",58773
126,Stacey Lopez,352-629-8261x83707,Chief Information Officer,"Rowley, North Carolina",144451
127,Mark Spears,001-318-314-0466,Marketing,"Chicago, Illinois",180306
128,Peter Woodard,(653)307-2853x52742,Chief Information Officer,"Syndney, Australia",229300
129,Sergio Jones,966-555-6282x475,Marketing Inter,"Tampa Bay, Florida",172401
130,Wendy Bishop,(816)321-1476x97050,Security,"San Francisco, California",125433
131,Anna Clark,767.592.2007,Operations Manager,"Rowley, North Carolina",222115
132,Holly Hudson,308-845-1449,General Manager,"Boston, Massachusetts",101299
133,Harry Lawrence,(540)897-6182,Accountant,"Tokyo, Japan",75081
134,Thomas Wyatt,+1-209-983-3930x3736,Database Developer,"Boston, Massachusetts",77423
135,Diana Hampton,(779)587-2599,Maintenance Worker,"Washington, DC",188623
136,Mr. Joel Preston,(525)720-3113x97654,Executive Director,"Syndney, Australia",225828
137,Tyler Charles,001-649-621-5115x51668,Quality Assurance,"Tokyo, Japan",89069
138,Shannon Oliver,899-409-1999,Marketing,"Boston, Massachusetts",142038
139,Jon Meyer,001-276-891-2311x226,Maintenance Worker,"Tokyo, Japan",107690
140,Daniel Johnson,+1-519-629-8049,Marketing,"Chicago, Illinois",113730
141,Jeffrey Moore,258-947-9252,Communications Specialist,"London, UK",85568
142,Daniel Keller,(219)802-2824x2021,Project Manager,"Rowley, North Carolina",220298
143,Barbara Huff,(858)961-3952x0736,Custodian,"Washington, DC",189564
144,Marilyn Foley,272-848-7365x211,Secretary,"Syndney, Australia",164443
145,Denise Johnson,(648)298-8308x247,Communications Specialist,"Rowley, North Carolina",51493
146,Andrew Logan,(637)806-8824,Accountant,"Tokyo, Japan",65871
147,Ruben Jacobson,214.490.0088x2584,Quality Assurance,"Austin, Texas",83536
148,Joshua Taylor,684-676-8433x76739,Administrative Assistant,"Hartford, Connecticut",126525
149,Dylan Ramos,520.750.6101,Administrative Assistant,"Tokyo, Japan",152171
150,Erica Armstrong,(204)894-8676,Maintenance Worker,"Austin, Texas",182324
151,Christopher Avila,001-383-666-1968x9884,Administrative Specialist,"Chicago, Illinois",75679
152,Sandra Malone,815.473.0075x95034,Information Technology,"Chicago, Illinois",232252
153,Michael Hinton,255.560.5112,Security,"Rowley, North Carolina",175837
154,Susan Perez,(842)262-6560,Maintenance Worker,"Boston, Massachusetts",223331
155,Joshua Case,876.244.3383x384,Maintenance Worker,"Boston, Massachusetts",45120
156,Steve Gentry,428.704.4908x2670,Marketing Inter,"Hartford, Connecticut",90200
157,Teresa Sandoval,(922)732-7934x135,Administrative Specialist,"Chicago, Illinois",129723
158,John Williams,(476)292-1383,Quality Assurance,"Rowley, North Carolina",207890
159,James Collins,819.414.2592x618,Telemarketing Representative,"Austin, Texas",139240
160,Craig Gordon,(691)410-5420,CEO,"Austin, Texas",101422
161,Brandon Owens,2783622635,CEO,"Tokyo, Japan",92515
162,Benjamin Aguilar,001-491-794-9965x32731,Mechanical Engineer,"Boston, Massachusetts",46663
163,Sarah Hughes,740.385.4203x4518,Marketing,"Chicago, Illinois",94087
164,Theresa Anderson,(917)361-4798x605,Security,"Tampa Bay, Florida",169395
165,James Robinson,3574086328,Secretary,"Tampa Bay, Florida",107034
166,Jeffrey Anderson,658-503-3156x287,Civil Engineer,"Hartford, Connecticut",65966
167,Charles Medina,(461)245-8222,Network Engineer,"Washington, DC",82546
168,Emily Turner,223.356.0196,Operations Manager,"San Francisco, California",140728
169,Joann Anderson,605.985.2777,Accountant,"Washington, DC",60983
170,Rachel Mercer,(901)649-4717,Administrative Assistant,"Hartford, Connecticut",163940
171,Julian Becker,001-246-917-8557x2397,Recruiter,"Washington, DC",66696
172,Cory Miller,261-419-7922x69582,Network Engineer,"Boston, Massachusetts",32789
173,Laura Peters,915.729.1980,Information Technology,"Rowley, North Carolina",70882
174,Kyle Baker,967.223.5500x252,General Manager,"Hartford, Connecticut",175347
175,Nicholas Suarez,+1-624-581-2313x10776,Database Developer,"Tokyo, Japan",105466
176,Derek Davis,001-875-462-6727,SEO,"Hartford, Connecticut",130940
177,David Torres,(443)352-4494x34427,Database Developer,"Syndney, Australia",125629
178,Samantha Glover,+1-404-517-0266x1264,Project Manager,"Hartford, Connecticut",231321
179,Matthew Stark,(708)274-1554x115,Actuary,"Tampa Bay, Florida",185849
180,Scott Clark,4883102415,General Manager,"Tokyo, Japan",30223
181,Jason Harrison,804-989-0470,Secretary,"Boston, Massachusetts",160516
182,Christina Miller,001-965-396-2003x569,Marketing Inter,"Chicago, Illinois",153251
183,Mary Smith,878-382-6906x1213,Accountant,"San Francisco, California",165896
184,Adrienne Estrada,998-474-7927x09401,Project Manager,"Austin, Texas",155151
185,Crystal Anderson,921.290.5516x999,Maintenance Worker,"Washington, DC",166620
186,Sabrina Clark,3045916659,Civil Engineer,"Rowley, North Carolina",153843
187,Jessica Bell,(910)978-7131,Custodian,"Rowley, North Carolina",155984
188,Brandon White,(288)925-5710x847,Quality Assurance,"Rowley, North Carolina",153386
189,Deanna Graham,+1-489-781-9679,Civil Engineer,"Chicago, Illinois",240631
190,Allison Palmer,(617)992-8590,General Manager,"Chicago, Illinois",103358
191,Monica Gould,+1-533-595-1295x86296,Secretary,"Tampa Bay, Florida",78682
192,Christina Cole,+1-818-814-7555x284,Industrial EngineerSoftware Engineer,"Boston, Massachusetts",54899
193,Nicholas Barrera,493-479-9692,Information Technology,"Rowley, North Carolina",182496
194,Abigail King,9734274377,Branch Manager,"Hartford, Connecticut",236650
195,Christopher Barber,+1-803-673-2619x85148,Marketing Inter,"San Francisco, California",246423
196,Jennifer Miller,985-939-7289,General Manager,"Tokyo, Japan",57169
197,Kathryn Brown,+1-239-538-4577,Industrial EngineerSoftware Engineer,"Chicago, Illinois",241022
198,Danny Leonard,+1-594-952-8609x31701,CEO,"London, UK",170672
199,Elizabeth Rodriguez,396.814.3426x9785,Information Technology,"San Francisco, California",196560
200,Donald Adams,+1-834-554-0415x08634,Graphic Designer,"Chicago, Illinois",107639
201,Krista Green,001-840-988-2175,Administrative Specialist,"Hartford, Connecticut",182473
202,Daniel Williamson,203-395-3393x35102,Security,"Chicago, Illinois",146207
203,James Wright,859.597.8493x6920,Marketing Inter,"Boston, Massachusetts",233511
204,Nathan Contreras,619-739-4629,Graphic Designer,"Austin, Texas",112263
205,Timothy Jacobson,414.437.9867x0535,Database Developer,"Syndney, Australia",209502
206,Mr. Anthony Hanna,936.659.6555,General Manager,"Hartford, Connecticut",142388
207,John Carter,668-595-8292,Executive Director,"Washington, DC",227491
208,Thomas Sanchez,213-224-9280x38503,Data Analyst,"Tokyo, Japan",184381
209,Cynthia Jimenez,515-715-4145,Project Manager,"Tampa Bay, Florida",127454
210,Alison Ross,(313)981-0152,Project Manager,"Rowley, North Carolina",247643
211,James Morgan,(486)206-5909x0695,Custodian,"Tampa Bay, Florida",244617
212,Mary Hughes,(615)910-7552x063,Maintenance Worker,"Boston, Massachusetts",132717
213,Helen Crawford,(397)724-7042x91582,SEO,"San Francisco, California",184736
214,Jeremy Thomas,001-319-766-0104x99433,Secretary,"Rowley, North Carolina",202570
215,Randall Anderson,001-690-683-0042x729,Operations Manager,"Tampa Bay, Florida",161613
216,Mercedes Norman,(714)497-2826x1366,Recruiter,"Tokyo, Japan",60660
217,Mike Thomas,247.204.8307,Secretary,"Chicago, Illinois",156083
218,Christina Henderson,573.587.7090x0003,Branch Manager,"London, UK",226704
219,Dawn Cook,769-937-6636x6288,General Manager,"Austin, Texas",96768
220,Christopher Johnson,001-338-639-5640x82926,SEO,"London, UK",102941
221,Marissa Simon,001-461-633-7439x39360,Marketing,"Tokyo, Japan",32944
222,Henry Carpenter,+1-676-806-8374x6344,Quality Assurance,"Washington, DC",39395
223,Anita Dixon,+1-248-975-2082x6793,Recruiter,"London, UK",45910
224,Jeffrey Turner,(452)955-8847,Project Manager,"Tokyo, Japan",31030
225,Roy Alvarez,536-902-2851x32434,Chief Information Officer,"Tokyo, Japan",54956
226,Reginald Rodriguez,001-206-252-5652x360,Information Technology,"Syndney, Australia",168125
227,Michael Duarte,(544)400-3243,CEO,"Hartford, Connecticut",59233
228,David Pearson,001-866-680-1977,Secretary,"Boston, Massachusetts",236793
229,Elizabeth Perry DDS,599-956-4493x493,SEO,"Austin, Texas",140801
230,Jade Torres,(212)254-5697,Operations Manager,"Tampa Bay, Florida",50132
231,Mr. Rick Martinez,+1-615-369-3985x120,Graphic Designer,"Hartford, Connecticut",242802
232,Tina Pena,974.605.5095x4891,CEO,"Chicago, Illinois",194060
233,Bruce Leach,814.689.1788,Information Technology,"Chicago, Illinois",143526
234,Jonathan Wells,001-838-387-1107x69533,Information Technology,"Austin, Texas",95866
235,Sean Parsons,666-591-3086x90232,CEO,"Chicago, Illinois",64236
236,Vanessa Santos,661-574-0354,Executive Director,"London, UK",54822
237,Erika Kelley,5819184139,Quality Assurance,"Hartford, Connecticut",85980
238,Anthony Chase,001-391-819-1694x1228,Recruiter,"Tokyo, Japan",53258
239,Stephanie Holt,+1-927-954-4499,Marketing,"Boston, Massachusetts",89652
240,Jennifer Dunlap,+1-306-716-2961,Branch Manager,"Syndney, Australia",94942
241,Kyle Hill,001-984-456-8232x333,Operations Manager,"London, UK",36513
242,Charles Mendoza,579.495.0962,Telemarketing Representative,"Hartford, Connecticut",249859
243,Joseph Mendoza,(349)768-9239x57182,Marketing Inter,"London, UK",199363
244,Nicholas Vasquez,355.719.1278x87197,Civil Engineer,"Hartford, Connecticut",131836
245,David Smith,+1-328-778-7007x307,Chief Information Officer,"Syndney, Australia",93838
246,John Ayala,3263607267,Information Technology,"Austin, Texas",116330
247,Colleen Lang,001-956-237-9352x640,Marketing Inter,"Tampa Bay, Florida",72793
248,Ivan Lee,001-675-699-7626x8133,Information Technology,"London, UK",144826
249,Amanda Nichols,001-302-245-8723x0507,Recruiter,"Hartford, Connecticut",50345
250,Tiffany Brady,001-265-442-5583x916,Quality Assurance,"Tokyo, Japan",160194
251,Rachel Hansen,(706)474-5666x554,Executive Director,"London, UK",126060
252,Warren Martinez,946.475.8707x43786,Chief Information Officer,"Tokyo, Japan",239742
253,Cassandra Hood,+1-347-936-3576x917,Recruiter,"Chicago, Illinois",67681
254,Paul Powell,(561)349-3882,Project Manager,"Tokyo, Japan",202419
255,Jasmine Mckay,812-733-7562x6673,Maintenance Worker,"Austin, Texas",149701
256,Martha Taylor,(979)526-2182x82832,Database Developer,"Austin, Texas",139677
257,Kayla Klein,9498290827,Communications Specialist,"Hartford, Connecticut",111799
258,Rebecca Kim,001-410-940-9711,Administrative Specialist,"Syndney, Australia",165803
259,Olivia James,001-292-822-7806,Database Developer,"London, UK",109586
260,Katherine Reyes,669-965-7224x28171,Administrative Assistant,"Austin, Texas",43737
261,Timothy Allen,(958)579-0621x06951,Graphic Designer,"London, UK",233226
262,Dale Black,(883)249-9744,Accountant,"Washington, DC",74117
263,Rachel Perez,640-350-8976x50348,Administrative Assistant,"Tokyo, Japan",46664
264,Jennifer Mitchell,524-268-5374x697,Administrative Assistant,"Syndney, Australia",213702
265,Cathy Holmes,(659)855-4030x5825,Recruiter,"Tokyo, Japan",181405
266,Michael Aguirre,(420)330-1554,Information Technology,"Boston, Massachusetts",164904
267,Catherine Williams,952.221.7039x662,Maintenance Worker,"San Francisco, California",183738
268,Kyle Gonzales,(238)353-0284x362,Custodian,"Tampa Bay, Florida",75437
269,David Durham,643-732-6258,SEO,"San Francisco, California",91263
270,Mr. Kelly Taylor,+1-980-879-2573,Accountant,"San Francisco, California",155719
271,John Ware,630-958-9390,Data Analyst,"Boston, Massachusetts",239357
272,Jennifer Fisher,378.342.2997x9340,Actuary,"Washington, DC",152487
273,Juan Alvarez,(782)253-3067x28970,Project Manager,"Washington, DC",236731
274,Nancy Dunn,(735)782-8588x27380,Recruiter,"Boston, Massachusetts",125147
275,Zachary Morrison,(740)418-7988x35865,Human Resources,"Rowley, North Carolina",231420
276,Curtis Gibson,(567)207-7177,Telemarketing Representative,"Rowley, North Carolina",121202
277,Michelle Stewart,595-455-0247,Branch Manager,"Washington, DC",245839
278,Brandon Blankenship,+1-757-556-8239x992,Recruiter,"Rowley, North Carolina",80860
279,Rodney Stewart,239-216-5126,Communications Specialist,"Washington, DC",174042
280,Jonathan Saunders,+1-530-823-4913,Network Engineer,"Tokyo, Japan",94820
281,David Perez DDS,829-847-1999,Quality Assurance,"Boston, Massachusetts",70014
282,Cynthia Jordan,+1-265-471-7571x796,Marketing,"Washington, DC",127723
283,Keith Patterson,(361)572-7245x0428,Administrative Specialist,"Chicago, Illinois",33789
284,Jonathan Watson,(503)205-5166x15796,Marketing,"Chicago, Illinois",167744
285,Christopher Hull,(498)616-2367x80725,Graphic Designer,"Rowley, North Carolina",174519
286,Lindsay Miller,001-499-476-9104,Administrative Assistant,"London, UK",92902
287,Erin Sanders,(493)201-6122x913,Mechanical Engineer,"Tokyo, Japan",112827
288,Tammy Vazquez,+1-377-293-3019x460,Mechanical Engineer,"Rowley, North Carolina",87121
289,Jasmine Morris,536.454.7662x89200,Mechanical Engineer,"Boston, Massachusetts",126914
290,Cynthia Lewis,855-805-6160,Quality Assurance,"Chicago, Illinois",80361
291,Cynthia Jones,001-665-358-3999x8953,Accountant,"Syndney, Australia",95595
292,Jonathon Burke,001-344-543-0817x68927,Security,"London, UK",205450
293,Russell Rowland,237-659-4597x556,Telemarketing Representative,"London, UK",71256
294,Melissa Brown,+1-911-920-6436,Civil Engineer,"London, UK",227107
295,Timothy Hart,(429)827-2554,Telemarketing Representative,"Boston, Massachusetts",61930
296,Laurie Carpenter,3176094154,Marketing,"Boston, Massachusetts",177770
297,Luis White,731-423-9923x1640,CEO,"Rowley, North Carolina",222288
298,James Ibarra,+1-609-730-1036x617,General Manager,"Tampa Bay, Florida",135010
299,Ms. Jordan Ferguson,(852)970-9791x28334,Chief Information Officer,"Rowley, North Carolina",245856
300,Michelle Brown,001-487-651-4119x629,General Manager,"Syndney, Australia",171719
301,Jason Patton,001-637-774-7133,Industrial EngineerSoftware Engineer,"Syndney, Australia",127973
302,Tammy Johnson,001-261-367-2333x01793,Actuary,"Chicago, Illinois",203464
303,Anthony Harris DDS,384.638.9057x5712,Telemarketing Representative,"Boston, Massachusetts",108975
304,Bianca Lopez,745.411.9942,Data Analyst,"Chicago, Illinois",98886
305,Wesley Drake,(641)578-0860x7841,Communications Specialist,"Syndney, Australia",62405
306,Douglas Clark,(346)275-4055x5242,Actuary,"Tokyo, Japan",242488
307,Robert Pearson,932-384-9644x10836,Industrial EngineerSoftware Engineer,"Syndney, Australia",114305
308,Kelly Perry,001-840-339-0794,Secretary,"San Francisco, California",113597
309,Alexis Holland,+1-759-750-0595x743,Administrative Specialist,"Syndney, Australia",85902
310,Ronnie Becker,(304)946-7435x73502,Database Developer,"Boston, Massachusetts",109620
311,Robin Olson,537.602.9658x036,Executive Director,"San Francisco, California",163132
312,John Taylor,296-914-9690x845,Communications Specialist,"Washington, DC",74161
313,Michael Ferguson,001-380-429-2406x03899,Marketing,"Tokyo, Japan",172624
314,Michael Johnson,(616)985-3553x22092,Marketing,"Tampa Bay, Florida",194049
315,Spencer Gilbert,873.365.6282x5067,Recruiter,"Hartford, Connecticut",211887
316,Nicole Bautista,+1-228-258-1608x25775,Graphic Designer,"Boston, Massachusetts",243344
317,Kimberly Powell,487.969.7017x87883,General Manager,"Rowley, North Carolina",59276
318,Courtney Ross,+1-839-236-6208x571,Project Manager,"Boston, Massachusetts",162104
319,Evan Byrd MD,210-474-7377x113,CEO,"Boston, Massachusetts",79770
320,Adam Lambert,(777)693-6488,Data Analyst,"Boston, Massachusetts",198915
321,Jennifer James,(811)734-5448x974,Administrative Specialist,"Chicago, Illinois",119588
322,Edward Duran,(282)514-6313,Accountant,"Tampa Bay, Florida",107505
323,Robert Jones,001-755-672-0135x7840,Accountant,"Austin, Texas",35728
324,Mark Walker,523-289-8825x592,General Manager,"Austin, Texas",211021
325,Joseph Wang,(777)956-6836x76407,Accountant,"San Francisco, California",219321
326,Audrey Diaz,+1-915-869-0031,SEO,"Washington, DC",78858
327,Sean Lopez,001-917-633-1974x14631,Information Technology,"Hartford, Connecticut",182561
328,Kayla Meyers,(429)808-8392x807,Graphic Designer,"London, UK",117838
329,Cheryl Mason,623-554-9732,Communications Specialist,"Hartford, Connecticut",46184
330,Susan Wilson,(820)592-4295x803,General Manager,"Syndney, Australia",132196
331,Amanda Smith,636.626.9873x28071,Administrative Assistant,"Boston, Massachusetts",84614
332,Todd May,445-302-7400x9326,Actuary,"Tokyo, Japan",170081
333,Brittany Smith,+1-344-985-6512x95857,Operations Manager,"Washington, DC",238758
334,Laura Lewis,(589)450-9626x730,Branch Manager,"Syndney, Australia",166351
335,Roberta Clark,455.656.1020x331,Industrial EngineerSoftware Engineer,"Syndney, Australia",88939
336,Ryan Jones,805-606-9426,Industrial EngineerSoftware Engineer,"Syndney, Australia",219740
337,Mrs. Barbara Ayers,(991)309-3868x7445,Graphic Designer,"Hartford, Connecticut",95482
338,Douglas Clark,609-770-5033x0576,Telemarketing Representative,"Tokyo, Japan",64075
339,Jennifer Lewis,(547)554-0568x28135,Operations Manager,"Washington, DC",159245
340,Nichole Ortiz,+1-639-861-2142x63532,Network Engineer,"London, UK",151790
341,Duane Dyer,470.315.1779,Maintenance Worker,"Syndney, Australia",162771
342,Thomas Cline,(505)587-6612x5195,Project Manager,"London, UK",102945
343,Kirk Molina,(513)279-2311x6584,CEO,"Syndney, Australia",101400
344,Amanda Wood,524.788.9006,Network Engineer,"Chicago, Illinois",158539
345,Jamie Adams,+1-482-677-4062,Human Resources,"London, UK",197832
346,Lauren Rocha,001-441-738-3498x685,Actuary,"Tokyo, Japan",136933
347,Brent Hubbard,5179465853,Marketing Inter,"Boston, Massachusetts",135714
